,Karen,Scott,Jessica,write a review,A verified traveler,Kevin,William,R,S,Christopher,Contributor,Chris,Patricia,Lisa,Mike,John,Nancy,H,Jason,Stephen,Anonymous,Jeffrey,Jennifer,Linda,Richard,James,Charles,Robert,Paul,George,Barbara,Steve,Eric,Mark,Mary,C,Daniel,Donald,David,Thomas,Susan,A Traveler,M,Not Provided,B,Laura,xxxxxxxxxxxxxx,Michael,Joseph
Extended Stay America - Los Angeles - Ontario Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extended Stay America - Orlando Theme Parks - Vineland Rd.,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,4.0,3.0,,,2.0,,,,
Extended Stay America - Raleigh - Cary - Regency Parkway S,,,,,,,,,,,,,2.0,,,3.0,,,,,,,,,5.0,1.0,,,,4.0,,,,,,,3.0,,,,2.0,3.0,,,,,,2.0,3.0
Extended Stay America - Rockford - I-90,,5.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,,,,,,,,5.0,,,,2.0,,,5.0
Extended Stay America Grand Rapids - Kentwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extended Stay America Philadelphia - Exton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extended Stay America San Diego - Carlsbad Village By The Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairbridge Inn,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,5.0,,,,,,2.0,,2.0,,2.0,,,4.0,,1.0,2.0,,,,,,,
Fairfield Inn & Suites Atlanta Perimeter Center,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,2.0,,4.0,
Fairfield Inn & Suites Des Moines Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Inn By Marriott Binghamton,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,3.0,,,,,,,,5.0,,,4.0,,,,,,4.0,
Fairfield Inn Saginaw,,,,,,,,,,,5.0,,4.0,,,,,4.0,4.0,,,,3.0,5.0,5.0,5.0,,,,,,,,,,,,4.0,,,,5.0,,,,,,,
Fairfield Inn Suites Spearfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Inn and Suites By Marriott Idaho Falls,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,4.0,,,,5.0,5.0,,,,,,,
Fairfield Inn and Suites By Marriott Plainville,,,,,,,,,,,,,,,,3.0,,,,,,5.0,,,,,,4.0,,4.0,5.0,,,5.0,,,4.0,4.0,5.0,5.0,,4.0,,,,,,5.0,
Fh Hotel Villa Fiesole,,,,,,,,3.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,4.0,,,,3.0,,5.0,
Fiesta Inn Centro Historico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,2.0,,,,,,,
Fiesta Inn and Suites,,,,,5.0,1.0,,1.0,,,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,2.0,1.0,,,,,,
Fireline Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireside Inn Santa Cruz,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,4.0,
Fitzgerald's Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Seasuns Bed & Breakfast Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hill Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Points-kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxburg Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontier Cabins Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden of The Gods Club & Resort,4.0,,,,,,5.0,,,,,,,,,5.0,,,,,4.5,,,,5.0,5.0,5.0,,,,,5.0,,,,,5.0,,,,,5.0,,,5.0,,,,
Gardena Terrace Inn,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,1.0,,,,,,2.0,4.0
Gateway Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Nite Inn Rohnert Park,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,4.0,,,,,,,,,3.0,,,,,,,
Gran Melia Victoria,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,5.0,,,5.0,,,5.0,,,,
Grand Hotel Cadenabbia,,,,,,,,3.0,,,,,,,1.0,,,4.0,,,,,,4.0,,3.0,,4.0,,,,,,,,,,,,,,5.0,,,,,,,
Greektown Casino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenstay Hotel and Suites,,,5.0,,,4.0,5.0,4.0,,5.0,5.0,,,5.0,,5.0,,,,5.0,,,,,,,,3.0,,,,,,5.0,4.0,,,,,,,5.0,,,5.0,5.0,,,
Gresham Area Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haltom Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
Hampton Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton Inn & Suites Crescent City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton Inn & Suites Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton Inn & Suites Syracuse/carrier Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton Inn & Suites-downtown-tutwiler,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,5.0,,,,4.0,,,,,,,,5.0,,3.0,5.0,5.0,4.0,,,,5.0,
Hampton Inn Abilene,,,,,,,5.0,,,4.0,,,,,,3.0,,,1.0,,,,,,5.0,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,
Hampton Inn Bloomington West,,,,,,,4.0,,,,,,,,,5.0,,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,
Hampton Inn Dublin,4.0,4.0,,,,,4.0,,,,,,,,,4.0,5.0,,,4.0,,,,,,,,,5.0,,,,,5.0,,,5.0,,,,4.0,3.0,,,,,,,
Hampton Inn Fayetteville Fort Bragg,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,4.0,4.0,,,,,,,,,,,4.0,,5.0,4.0,,,,,,
Hampton Inn Grand Junction Downtown/historic Main Street,4.0,,,,,,,,,,,,3.0,,,,,,3.0,,,4.0,,,,3.0,,,,,,,,4.0,,,,,4.0,2.0,,4.0,,,,,,5.0,
Hampton Inn Jackson Hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton Inn New Orleans - Downtown,,,,,,,2.0,,,,,,,5.0,,,,,,,,5.0,5.0,,,,,,5.0,,,,,,,,,,,,,4.0,,,5.0,,,,
Hampton Inn Roanoke/salem,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
Hampton Inn Sarasota - I-75 Bee Ridge,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,3.0,,,5.0,,,,,,,4.0,4.0,3.0,,3.0,,,4.0,,2.0,,,,,
Hampton Inn Tucson-airport,,,,,,,,,4.0,,,4.0,,,,5.0,,,,5.0,,,,5.0,,,,3.0,,,,,,,,,,,,,3.0,4.0,5.0,,,,,5.0,
Hampton Inn Virginia Beach Oceanfront North,,10.0,,,,5.0,5.0,,5.0,,,,7.1,10.0,,5.0,,,,2.0,6.7,,10.0,,9.6,5.0,,5.0,,,,9.2,7.1,,,,10.0,,9.2,,,5.0,,,,,,4.0,6.3
Hampton Inn Waco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton Inn and Suites Annapolis,,,,,,,5.0,,,,,,,4.0,5.0,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,
Hamton Inn New Orleans Westbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrah's Laughlin Hotel and Casino,,,2.0,4.0,,,5.0,,,,,,5.0,5.0,,,,,,,,,,,3.0,,1.0,3.0,,2.0,,2.0,,,2.0,,,,3.0,,5.0,5.0,4.0,,4.0,,,2.0,
Hawthorn Suites By Wyndham Livermore Wine Country,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,3.0,,,,,,,,,,,4.0,,,,,,5.0,
Hawthorn Suites Dayton North,,,,,,,3.0,,,,,,,,,3.0,2.0,,,,,,1.0,,,,,3.0,,,,,,,,1.0,,,,,,1.0,,,,,,4.0,
Hi-way Inn of Kiowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Desert Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Garden Inn Austin Nw - Arboretum,,,,,,4.0,5.0,,,,,4.0,,,4.0,,,,,,,,,,,,,,,5.0,,,,4.0,,,,,,,,5.0,,,,,,,
Hilton Garden Inn Kauai Wailua Bay,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
Hilton San Diego Airport/harbor Island,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,,,,,,,5.0,,,3.0,,,,,,,5.0
Hilton Santo Domingo,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,3.0,,,,,
Hitching Horse Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Canyon De Chelly,5.0,,,,,,,,,,,,,5.0,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,4.0,,,,,,5.0,
Holiday Inn Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Express & Suites Bay City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Express & Suites Crossville,,,,,,,,,3.0,,,5.0,,4.0,,,,,,,,,,,,5.0,,,,,,,3.0,,,,,,5.0,5.0,,4.0,,,,,,5.0,4.0
Holiday Inn Express & Suites Phoenix Downtown - Ballpark,,,,,,,,,,,,,,,,5.0,,,,1.0,,,5.0,,,,,5.0,,,,,,5.0,5.0,,4.0,,,,4.0,3.0,,,,3.0,,,
Holiday Inn Express & Suites South Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Express & Suites Weslaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Express & Suites West Monroe,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,5.0,,,,,4.0,,,,,,,,5.0,4.0,,,,,,,
Holiday Inn Express - Harrisburg East,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,5.0,4.0,,,,,,,,,4.0,5.0,,,,,,,4.0,,,,,,3.0,
Holiday Inn Express - Hillsboro,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,4.0,5.0,,,,,,,4.0
Holiday Inn Express Atlanta Ne - I-85 Clairmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Express Colton-riverside North,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,,,,2.0,,3.0,
Holiday Inn Express Dahlonega,,,,,,,,,,,3.0,,3.0,,4.0,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,5.0,,5.0,,,,,,5.0,
Holiday Inn Express Gatesville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Express Grove City (outlet Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Express Hotel & Suites Emporia,4.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,3.0,5.0,,,,,,,,,4.0,3.0,,5.0,,,,,,,
Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,,4.0,,,,,,,4.0,,1.0,,3.0,,4.0,,,,,3.0,,4.0,,,,,3.0,5.0,,,,,5.0,5.0,,,,,,,,5.0,,,,,,,
Holiday Inn Express Hotel and Suites Cambridge,,,,,,,,,,,,5.0,,,5.0,4.0,,,4.0,,,,,,,,,5.0,,,,,5.0,,,,,,4.0,,5.0,4.0,,5.0,,,,,
Holiday Inn Express Hotel and Suites Hesperia,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,4.0,,5.0,,,3.0,,,,,1.0,,4.0,1.0,,,,,,,
Holiday Inn Express Hotel and Suites Meadowlands Area,,,,,,,,,,,,5.0,,5.0,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,5.0,,,,,,5.0,
Holiday Inn Express Hotel and Suites Memphis Southwind,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,5.0,,,,,,,,3.0,5.0,,,,,,,,,4.0,,,,,,,
Holiday Inn Express Hotel and Suites Raleigh-wakefield,,4.0,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,5.0,5.0,,,5.0,,,,,,,,5.0,,,,,,,
Holiday Inn Express Hotel and Suites Va Beach Oceanfront,,,,,,,7.9,,,,,,7.5,4.0,9.6,,9.6,,,,5.4,,7.5,10.0,,,,,7.9,4.0,,,8.8,3.0,,,,,7.9,3.0,,5.0,,,,,,6.3,
Holiday Inn Express San Clemente,,,,,,4.0,,,,,3.0,,,,,4.0,,,3.0,,,,,,,,,5.0,,,,3.0,,,,,,5.0,,,5.0,5.0,,,,5.0,,,
Holiday Inn Express Suites Floresville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Express and Suites Canyonville,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,4.0,5.0,5.0,5.0,4.0,,,,,5.0,4.0,,,3.0,,,,
Holiday Inn Express and Suites Gahanna/columbus Airport E,,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,4.0,,4.0,,,,,,,,,,,,,,5.0,,,,,,,
Holiday Inn Fond Du Lac,,,,,4.0,,,,,5.0,,4.0,,4.0,,4.0,3.0,,,,,,,,,,,4.0,5.0,,,,,,,,4.0,,,,,3.0,,,,,,,
Holiday Inn Rutland-killington Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn Victorville,,,,,,,,,,,,,5.0,4.0,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,4.0,,,,,,,
Homeplace Inn and Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homestead Studio Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homewood Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homewood Suites - Mall of America,,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,4.0,2.0,,,,,,
Hotel Adler Cavalieri,,,,,,,,,5.0,,,,5.0,,4.0,,5.0,,,5.0,,,,,,,,5.0,,,,,5.0,,,,,,,,,5.0,,,,5.0,,,
Hotel An Der Philharmonie,,,,,,,5.0,,,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,4.0,,3.0,,,4.0,,,,,,,
Hotel Aura Sfo,,,,,,,2.0,,,,,,,,,,,3.0,,4.0,,,,,5.0,5.0,,,,,,,,,,,,,,,3.0,5.0,4.0,,3.0,,,,
Hotel Borgo Verde,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,
Hotel Casena Dei Colli,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,5.0,,4.0,,,,,
Hotel De La Ville,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,2.0,,,,5.0,,,,,,,5.0,,5.0,,4.0,,,5.0,,5.0,,5.0,,,
Hotel Eug��ne En Ville,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,4.0,,,,,,,3.0,2.0,,,,,5.0,5.0
Hotel Garibaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,4.0,,,3.0,,,,4.0,4.0,,,,3.0,,,
Hotel Lavonia,,,,,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
Hotel Metropole,,,,,,,5.0,5.0,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,5.0,,,
Hotel Millersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Portaventura,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,2.0,,5.0,,,,,,3.0,,,,,,,
Hotel Relais De Margaux Golf and Spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,1.0,,4.0,,,,,,,
Hotel Roc Flamingo,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,5.0,,,2.0,,,,
Hotel Roc Lago Rojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,2.0,
Hotel Russo Palace,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,
Hotel Silken Siete Coronas,4.0,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,5.0,,,5.0,4.0,,,,,,
Hotel Valencia Santana Row,,3.0,,,,,5.0,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,5.0
Hotel Vier Jahreszeiten KÜhlungsborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
Hotel Vorbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,,4.0,
Howard Johnson,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Johnson Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Johnson Inn - Newburgh,,,,,2.0,3.0,,,,,,3.0,1.0,,,3.0,2.0,,,,,,5.0,1.0,,2.0,1.0,2.0,,,,,,4.0,3.0,,,,3.0,,3.0,3.0,,,3.0,,,1.0,
Howard Johnson Inn Columbia,,,,,,,3.0,,,,,,,2.0,,,,,,,,,,2.0,,3.0,,4.0,,,,3.0,,4.0,4.0,,4.0,,,5.0,4.0,1.0,,4.0,,,,,
Hudson Hotel - Book Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunting Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyatt Centric Arlington,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyatt Dulles,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyatt House Colorado Springs,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,3.0,5.0,1.0,,,,,,
Hyatt Place Atlanta/alpharetta/north Point Mall,,,,,,,,4.0,,,,5.0,,5.0,,,,,,,,,,,,,,3.0,4.0,,,,,,,,5.0,,,,5.0,4.0,5.0,,5.0,,,5.0,
Hyatt Place Pittsburgh Cranberry,,,5.0,,,,,,,,,,,,,4.0,,,,4.0,,4.0,5.0,,5.0,,,4.0,,5.0,5.0,,,,,,5.0,,,,,4.0,,,,,,,5.0
Hyatt Place San Antonio Airport - Quarry Market,,,,,,5.0,,,,,,,,,3.0,,,,1.0,,,,,,5.0,4.0,,,,,,,,,,,,5.0,,,,4.0,,,,,,,
Hyatt Place Utica,5.0,,,,,,2.0,,,3.0,,5.0,,,,,,,4.0,,,,,,,,,,,4.0,5.0,,,,,4.0,,4.0,,,,5.0,,,,,,4.0,
Hyatt Regency Kathmandu,,,,,,7.9,,,,,,,,,,,,,,,10.0,,,,,7.9,,9.2,,,9.2,,,,,,,,,,,,,,,,,9.2,
Hyatt Regency Reston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H��tel Les Bruy��res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,
H��tel Marinca and Spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
H��tel Sezz Paris,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,5.0,5.0,,,,,,,
Ibis Wuerzburg City,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,4.0,,,,,,,
Ihg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inn & Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inn At Mendenhall,4.0,4.0,,,,,,,,5.0,,5.0,5.0,,5.0,5.0,4.0,,,,,,,,5.0,5.0,,,,,,,,,,,5.0,,5.0,,5.0,5.0,,,,,,,5.0
Inn At Queen Anne,,,,,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,3.0,,1.0,3.4,,3.0,1.0,,,,,4.0,,,,,,,
Inn At The River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innisbrook,,,,,,,,,5.0,,,,4.0,,,4.0,,,,,,4.0,,,,,,,,,,,,,4.0,,,,5.0,5.0,5.0,3.0,,,,,,4.0,1.0
Inter-hotel Orl��ans Nord,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,4.0,,,,,,,,,,,,,3.7,,,,,,,
Intercontinental Hotels Resorts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermezzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inturotel Esmeralda Park,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,
Ip Casino Resort Spa,5.0,4.0,2.0,,,4.0,,,,5.0,,3.0,,,,5.0,,,,4.0,,,5.0,,4.0,4.0,,4.0,,,,,,,,,,,5.0,4.0,4.0,3.0,,,3.0,,,2.0,3.0
Irish House Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville Plaza Hotel and Suites,,3.0,,,,,2.0,,,,,,,,,3.0,,,,,,,4.0,,,5.0,3.0,,5.0,,,,,,,,,5.0,,,3.0,4.0,,,,,,3.0,
Jellico Days Inn North Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniper Lane Guest House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jvd Hotels,,,,,,,,,,,4.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
Kaier Mansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyser Inn Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kit Carson Lodge Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knights Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knights Inn Aiken,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,,,,,,
Knights Inn Amarillo Airport,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
Knights Inn Carmel Hill,,,,,,,,,5.0,,,,,,,,,5.0,,4.0,,,,3.0,1.0,3.0,,,3.0,,,,,,,,5.0,5.0,3.0,,,4.0,,,5.0,,,,
Knights Inn Durango Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knights Inn Eau Claire,,,,,,,,,,,3.0,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
Koehne Dexter Terrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Playa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Posada Lodge & Casitas, An Ascend Hotel Collection Member",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Quinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Quinta Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Quinta Inn & Suites Chicago Tinley Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Quinta Inn & Suites Dublin,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Quinta Inn Auburn Worcester,,,,,,,,,,3.0,,,,3.0,,4.0,3.0,,,,,,4.0,,,,,,,,3.0,,,,,4.0,,,2.0,,,4.0,,,,,,,
La Quinta Inn and Suites Hopkinsville,,,4.0,,,,4.0,,,,5.0,,,,,4.0,5.0,,5.0,,,,5.0,,4.0,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,
La Quinta Inn and Suites Meridian,,,,,,,4.0,,,,,3.0,,,4.0,,,,,3.0,,,,5.0,,3.0,,,4.0,,,,,,,,,,5.0,,2.0,3.0,,,,,,4.0,
